rnti ts msg Attackornot
55 0.40318799018859863 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
56 0.375124454498291 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
57 0.37110352516174316 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
58 0.5947055816650391 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, ULInformationTransfer, SecurityModeCommand, SecurityModeComplete" Benign
59 0.8943753242492676 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest" Benign
60 14.904377698898315 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, DeregistrationrequestUEoriginating" Benign
61 0.44045042991638184 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest" Benign
62 0.0003859996795654297 "RRCSetupRequest, RRCSetup" Benign
63 0.0002872943878173828 "RRCSetupRequest, RRCSetup" Benign
64 0.9893088340759277 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest" Benign
65 0.6347651481628418 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest" Benign
66 0.36915040016174316 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
67 0.40955400466918945 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
68 0.36538243293762207 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
69 0.3693828582763672 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
70 0.3852381706237793 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
71 0.36120128631591797 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
72 0.3811674118041992 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
73 0.35712599754333496 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
74 0.360990047454834 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
75 0.39299654960632324 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
76 0.0003788471221923828 "RRCSetupRequest, RRCSetup" Benign
77 0.0003688335418701172 "RRCSetupRequest, RRCSetup" Benign
78 0.0003864765167236328 "RRCSetupRequest, RRCSetup" Benign
79 0.00036406517028808594 "RRCSetupRequest, RRCSetup" Benign
80 0.00039696693420410156 "RRCSetupRequest, RRCSetup" Benign
81 0.00039196014404296875 "RRCSetupRequest, RRCSetup" Benign
82 1.6703824996948242 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, ULInformationTransfer, SecurityModeCommand, SecurityModeComplete" Benign
83 0.00038170814514160156 "RRCSetupRequest, RRCSetup" Benign
84 0.0003826618194580078 "RRCSetupRequest, RRCSetup" Benign
85 0.00037932395935058594 "RRCSetupRequest, RRCSetup" Benign
86 0.000408172607421875 "RRCSetupRequest, RRCSetup" Benign
87 0.0003790855407714844 "RRCSetupRequest, RRCSetup" Benign
88 0.00045752525329589844 "RRCSetupRequest, RRCSetup" Benign
89 1.5643677711486816 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, ULInformationTransfer, SecurityModeCommand, SecurityModeComplete" Benign
90 0.29524803161621094 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
91 0.294461727142334 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
92 0.30666518211364746 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
93 0.3121044635772705 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
94 0.3372790813446045 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
95 0.4319157600402832 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
96 0.3661816120147705 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
97 0.37431955337524414 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
98 0.3462536334991455 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
